"Dependant Variable","Explaining Variable","Coefficient","% of explained variance"
"Aesthetic Value","qTD"," 0.331712061","0.25552140"
"Aesthetic Value","qPD_SES","-0.102845652","0.25552140"
"Aesthetic Value","qFD_SES","-0.091474778","0.25552140"
"Aesthetic Value","Sediment","-0.091014040","0.25552140"
"qTD","Anthropization"," 0.101278509","0.12424077"
"qTD","Sediment","-0.222138501","0.12424077"
"qPD_SES","qTD"," 0.256374400","0.23486912"
"qPD_SES","Sediment"," 0.292795706","0.23486912"
"qFD_SES","qTD"," 0.158545794","0.59907350"
"qFD_SES","qPD_SES"," 0.746516524","0.59907350"
"qFD_SES","Sediment"," 0.049389966","0.59907350"
"Exploitation","Depth","-0.762936536","0.18619620"
"Anthropization","Depth"," 0.330994913","0.11635981"
"Anthropization","Exploitation"," 0.080779982","0.11635981"
"Sediment","Depth"," 0.132005685","0.01085289"
"Sediment","Exploitation","-0.005772548","0.01085289"
"Depth",NA,NA,NA
